took,timed_out,shards_total,shards_successful,shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_id_quartiere,hits_hits__source_id_municipio,hits_hits__source_id_circoscrizione,hits_hits__source_ora,hits_hits__source_id_corsa,hits_hits__source_totale_rilevazioni,hits_hits__source_id_data,hits_hits__source_municipio,hits_hits__source_quartiere,hits_hits__source_flag_amtab_mezzi,hits_hits__source_data,hits_hits__source_anno,hits_hits__source_data_anno
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_9_176900_20170317",1.0,2.0,3.0,93.0,9.0,"176900",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_168_17_185131_20170317",1.0,2.0,3.0,168.0,17.0,"185131",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_227_11_185227_20170317",1.0,2.0,3.0,227.0,11.0,"185227",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","15_2_240_19_122152_20170317",1.0,15.0,2.0,240.0,19.0,"122152",1.0,2.0170317E7,"MUNICIPIO N.4","XV - CEGLIE DEL CAMPO",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_8_184041_20170317",1.0,12.0,1.0,140.0,8.0,"184041",1.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_16_184169_20170317",1.0,8.0,5.0,151.0,16.0,"184169",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_8_184040_20170317",1.0,12.0,1.0,140.0,8.0,"184040",1.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_15_184160_20170317",1.0,8.0,5.0,151.0,15.0,"184160",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_17_184144_20170317",1.0,8.0,5.0,151.0,17.0,"184144",3.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","16_2_240_5_192283_20170317",1.0,16.0,2.0,240.0,5.0,"192283",1.0,2.0170317E7,"MUNICIPIO N.4","XVI - LOSETO",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_9_144800_20170317",1.0,5.0,3.0,139.0,9.0,"144800",2.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_18_176932_20170317",1.0,2.0,3.0,93.0,18.0,"176932",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_20_184558_20170317",1.0,2.0,3.0,93.0,20.0,"184558",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_14_184142_20170317",1.0,8.0,5.0,151.0,14.0,"184142",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_15_144808_20170317",1.0,5.0,3.0,139.0,15.0,"144808",4.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","5_3_139_13_161396_20170317",1.0,5.0,3.0,139.0,13.0,"161396",3.0,2.0170317E7,"MUNICIPIO N.1","V - JAPIGIA",1.0,"2017-03-17","2017","2017"
